,video_id,comments
0,1xGruv3iyAQ,"['Apki video notification nahi aa rahi 😅😅', 'Views kyu kam ho rhe h bhai \nSab like kro yrr', '2000', 'Please happy Prince meri ID mein talk UP kar do please please please happy Prince game please please', '😞😞😞😭😭🙏🙏🙏🙏☹️☹️☹️😭😭😭😩😩😩😩😟😟😟😟', 'happy Prince gaming please mere ko 2000 diamond ka to kab chahie please please mujhe thum thumb skin ki skin ke skin Kali nikaalne please de do please do hajar diamond cut off de do please, 😭😭😭😭😭😭😭😭😭😭😭😭😭☹️😟😟😟😟😟😩😩😩😟😢😢🙏🙏🙏😟🙏🙏😟😟😟😟😟😟😟😣😣😞😞😞😢😟😟😟', 'Maina nahi dekha', 'Happy Prince ka bhai face reveal Ho Gaya happy Prince ka face reveal', 'Who is missing old happy prince intro,factory challenges,old logo 🥺😢', 'Bhi app kis mobile player ke sath khele']"
1,iQqtiSgIzn8,"['𝘕𝘪𝘤𝘦 𝘷𝘦𝘥𝘪𝘰🤩💖🤩💖', 'Please sapot 🥺', 'Please bhai yaar mein aapki har video dekhta hun please yaar main aapka channel kabhi subscribe karke Rakha yaar meri yaad mein please top up kar do yaar please yaar bhai kar do yaar', 'VR mall surat 💪', 'Happy prince please support me please please', 'India ka bhai bhaijaan means Salman khan', 'SALA KATWE KI OLAD', 'Bhai meri ek help kr do ff me plzzz', 'India ka no 1 hero power Star puneeth Rajkumar', 'Nice']"
2,EpNiFoshkKw,"['😍😍😍😍😍😍😍😍😍😍', 'Bhai aappke video ki notification nhi aa rhi hai😢😢', 'कोलकत्त', 'Yaar Prince bhai please meri yaad mein beta kab kar do yaar mujhe sab Nagda Nagda bolate hain bhai Loli mod dikhte hain bhai naukar ke please yaar maja ki har video dekhta hun please yaar tab kar', 'Which beach u came', ""Sir I'm from Goa only 🙂"", 'Bhai tropical spice plantation visit karo', 'Hello prince bhai', 'I love your hair bro', 'Bro u are looking handsome']"
3,DFtQGGz41k8,"['BIG FAN IN THE WORLD 😍', 'Happy Prince plzz muje diamond top up kardo', 'Happy price please my ID pro kare do 704726776', 'Bai meri kuch diamond dedo please - dravid1444b', 'Big fan bro pls give 1 daimond 😂😂😂', 'Bhai mere uid par please top up kar do na uid 2589625090', 'I dislike your channel.', 'Hi brother. 😈🖤', 'https://youtu.be/BvEkF_wmhfQ', '3127141358']"
4,0_V8hVdV-dU,"['so funny 🤣🤣🤣 prince Bhi hahahahaha', 'Ford', 'Hi', 'Hi', 'Please give me', 'No', '😭😭😭😭😭😭😭😭😭😭😭🙏😥😥🥺🥺😥😥😥😥🥺🥺😥😭😭😭😭😭🙏😥😥😥😥🥺🥺😥😥😥😥🥺😥😥😥😥🥺🥺😥😥😭😭😭😭🙏😥😭🙏😥😥😥😥🥺😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 diamond back cover 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 aap ki video aur dekhta 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭', 'Bhai mere uid par please top up kar do na 2000dimand ka uid 2589625090', 'बेटा मनमे लडु फुटा', ""Bhi please mare I'd ma Evo gun nikal do""]"
5,wTPZnlX5nA4,"['I hack you were id,,🤪🤪 just a joke', 'Fdgugj', 'Hi 😭😭😭😭', 'Hello bhai aap game kab kheloge bhai mujhe bhi khelna mein aapki chehre per naya naya sabse ka raha hun bhai', 'Bhai mere uid par please top up kar do na 2000dimand ka uid 2589625090', '😄', '👍👍', '3127141358', 'Diamonds please!!🥺🥺🥺💎💎', 'Pllese give me 600 diminds in my id id is volt5a3']"
6,-Syt7akHek4,"['Op prince bro', 'Big fan🥰', 'Hello Prince bhai mere ID mein 1000 diamond ka topa kar do Maine Mera ID Instagram mein de di hai', '3:00 😂😂😂😂😂', '😘😘😘', 'Ye Kia Hoon gia', 'You are so cute🥰🥰', 'Hu jo ajj cs ma mila tha', 'Bhai ma pagal m10', 'Hi prince ff']"
7,do9tlaFEp1U,"['📷INSTAGRAM  - @happyprince_23_\r\nhttps://www.instagram.com/happyprince_23_/', 'Hi', 'Hello', 'Totla', 'Hahaha 🤣🤣🤣 I am your new subscribe and 🥺 pleas top up my id M18#boss is my free fire name', 'Big fan🥰', 'Bhai mujhe bhi chahiye', 'Mera uid-2425953976', '1964817073 bhai mere ko Australia', '4167843701']"
8,8t3lqNps3rY,"['Hello my iD is simranC5051Q', 'CID ke episode Pali Karan master 5 by 8 please aapke pass koi id hai to mujhe de do yaar ID', 'Free fire ID ka mera naam FFking bane', 'Bhai mein aapka bahut bada friend 🌹🌹🌹🌹🌹🌹🌹🥳😍', 'Top up please my ID', 'arabhaitumschoolnahijataykya🤠🤠🤠🤠', 'op', 'uid6904485035', 'Prince bhai please my request to utha lo', 'Bhai app to Mari kabhi nahi coment nahi padta']"
9,HQ37rudMhCk,"['Big fan🥰', 'Uid', 'Love from Gujarat', 'Ples 1500 Diamonds', '🥺🥺🥺', '😎😎😉😍😁😄😀😄🤣😄😁😀😅😊', 'Hello', 'Api mujhe gift nhi dete', '7045554994', 'Pleasehappyprine']"
